Alpha,Gamma,Epsilon,Average Reward
0.6,0.9,0.5,-0.177
0.6,0.9,0.6,-0.137
0.6,0.9,0.7,-0.147
0.6,0.9,0.8,-0.147
0.6,0.9,0.9,-0.138
0.6,0.9,1.0,-0.148
0.6,1.0,0.1,-0.126
0.6,1.0,0.2,-0.172
0.6,1.0,0.3,-0.092
0.6,1.0,0.4,-0.159
0.6,1.0,0.5,-0.137
0.6,1.0,0.6,-0.122
0.6,1.0,0.7,-0.128
0.6,1.0,0.8,-0.122
0.6,1.0,0.9,-0.192
0.6,1.0,1.0,-0.146
0.7,0.1,0.1,-0.119
0.7,0.1,0.2,-0.101
0.7,0.1,0.3,-0.135
0.7,0.1,0.4,-0.138
0.7,0.1,0.5,-0.119
0.7,0.1,0.6,-0.074
0.7,0.1,0.7,-0.106
0.7,0.1,0.8,-0.163
0.7,0.1,0.9,-0.181
0.7,0.1,1.0,-0.13
0.7,0.2,0.1,-0.134
0.7,0.2,0.2,-0.134
0.7,0.2,0.3,-0.143
0.7,0.2,0.4,-0.129
0.7,0.2,0.5,-0.153
0.7,0.2,0.6,-0.12
0.7,0.2,0.7,-0.137
0.7,0.2,0.8,-0.17
0.7,0.2,0.9,-0.104
0.7,0.2,1.0,-0.153
0.7,0.3,0.1,-0.1
0.7,0.3,0.2,-0.138
0.7,0.3,0.3,-0.159
0.7,0.3,0.4,-0.203
0.7,0.3,0.5,-0.157
0.7,0.3,0.6,-0.143
0.7,0.3,0.7,-0.13
0.7,0.3,0.8,-0.102
0.7,0.3,0.9,-0.085
0.7,0.3,1.0,-0.156
0.7,0.4,0.1,-0.147
0.7,0.4,0.2,-0.114
0.7,0.4,0.3,-0.123
0.7,0.4,0.4,-0.115
0.7,0.4,0.5,-0.155
0.7,0.4,0.6,-0.145
0.7,0.4,0.7,-0.124
0.7,0.4,0.8,-0.112
0.7,0.4,0.9,-0.179
0.7,0.4,1.0,-0.121
0.7,0.5,0.1,-0.137
0.7,0.5,0.2,-0.123
0.7,0.5,0.3,-0.125
0.7,0.5,0.4,-0.147
0.7,0.5,0.5,-0.119
0.7,0.5,0.6,-0.183
0.7,0.5,0.7,-0.132
0.7,0.5,0.8,-0.141
0.7,0.5,0.9,-0.128
0.7,0.5,1.0,-0.105
0.7,0.6,0.1,-0.077
0.7,0.6,0.2,-0.13
0.7,0.6,0.3,-0.131
0.7,0.6,0.4,-0.13
0.7,0.6,0.5,-0.102
0.7,0.6,0.6,-0.131
0.7,0.6,0.7,-0.161
0.7,0.6,0.8,-0.204
0.7,0.6,0.9,-0.144
0.7,0.6,1.0,-0.097
0.7,0.7,0.1,-0.088
0.7,0.7,0.2,-0.16
0.7,0.7,0.3,-0.103
0.7,0.7,0.4,-0.113
0.7,0.7,0.5,-0.155
0.7,0.7,0.6,-0.114
0.7,0.7,0.7,-0.107
0.7,0.7,0.8,-0.119
0.7,0.7,0.9,-0.211
0.7,0.7,1.0,-0.136
0.7,0.8,0.1,-0.067
0.7,0.8,0.2,-0.117
0.7,0.8,0.3,-0.141
0.7,0.8,0.4,-0.053
0.7,0.8,0.5,-0.2
0.7,0.8,0.6,-0.121
0.7,0.8,0.7,-0.138
0.7,0.8,0.8,-0.106
0.7,0.8,0.9,-0.148
0.7,0.8,1.0,-0.158
0.7,0.9,0.1,-0.124
0.7,0.9,0.2,-0.151
0.7,0.9,0.3,-0.14
0.7,0.9,0.4,-0.12
0.7,0.9,0.5,-0.119
0.7,0.9,0.6,-0.166
0.7,0.9,0.7,-0.121
0.7,0.9,0.8,-0.186
0.7,0.9,0.9,-0.195
0.7,0.9,1.0,-0.109
0.7,1.0,0.1,-0.054
0.7,1.0,0.2,-0.133
0.7,1.0,0.3,-0.098
0.7,1.0,0.4,-0.188
0.7,1.0,0.5,-0.154
0.7,1.0,0.6,-0.114
0.7,1.0,0.7,-0.154
0.7,1.0,0.8,-0.116
0.7,1.0,0.9,-0.18
0.7,1.0,1.0,-0.153
0.8,0.1,0.1,-0.113
0.8,0.1,0.2,-0.096
0.8,0.1,0.3,-0.146
0.8,0.1,0.4,-0.108
0.8,0.1,0.5,-0.105
0.8,0.1,0.6,-0.109
0.8,0.1,0.7,-0.104
0.8,0.1,0.8,-0.139
0.8,0.1,0.9,-0.121
0.8,0.1,1.0,-0.21
0.8,0.2,0.1,-0.081
0.8,0.2,0.2,-0.078
0.8,0.2,0.3,-0.071
0.8,0.2,0.4,-0.12
0.8,0.2,0.5,-0.14
0.8,0.2,0.6,-0.152
0.8,0.2,0.7,-0.14
0.8,0.2,0.8,-0.141
0.8,0.2,0.9,-0.103
0.8,0.2,1.0,-0.166
0.8,0.3,0.1,-0.098
0.8,0.3,0.2,-0.146
0.8,0.3,0.3,-0.148
0.8,0.3,0.4,-0.117
0.8,0.3,0.5,-0.136
0.8,0.3,0.6,-0.146
0.8,0.3,0.7,-0.125
0.8,0.3,0.8,-0.09
0.8,0.3,0.9,-0.141
0.8,0.3,1.0,-0.192
